iter	Passed	Remaining
640	2043	1144
641	2045	1140
642	2047	1136
643	2050	1133
644	2052	1129
645	2057	1127
646	2059	1123
647	2061	1119
648	2063	1116
649	2065	1112
650	2067	1108
651	2071	1105
652	2073	1101
653	2074	1097
654	2076	1093
655	2078	1089
656	2080	1086
657	2082	1082
658	2086	1079
659	2088	1075
660	2090	1071
661	2091	1068
662	2093	1064
663	2095	1060
664	2097	1056
665	2102	1054
666	2104	1050
667	2106	1046
668	2108	1043
669	2110	1039
670	2112	1035
671	2117	1033
672	2119	1029
673	2120	1025
674	2122	1022
675	2124	1018
676	2126	1014
677	2129	1011
678	2131	1007
679	2133	1003
680	2135	1000
681	2137	996
682	2139	993
683	2141	989
684	2144	986
685	2146	982
686	2148	978
687	2150	975
688	2151	971
689	2153	967
690	2155	963
691	2157	960
692	2160	956
693	2162	953
694	2164	949
695	2166	946
696	2168	942
697	2170	939
698	2173	935
699	2175	932
700	2177	928
701	2179	925
702	2181	921
703	2183	917
704	2185	914
705	2189	911
706	2191	908
707	2192	904
708	2194	900
709	2196	897
710	2198	893
711	2200	890
712	2203	886
713	2205	883
714	2207	879
715	2209	876
716	2211	872
717	2213	869
718	2215	865
719	2218	862
720	2220	859
721	2222	855
722	2224	852
723	2226	848
724	2228	845
725	2230	841
726	2234	838
727	2237	835
728	2239	832
729	2241	829
730	2243	825
731	2245	822
732	2248	819
733	2250	815
734	2253	812
735	2255	809
736	2258	805
737	2260	802
738	2263	799
739	2266	796
740	2267	792
741	2269	789
742	2272	785
743	2274	782
744	2276	779
745	2279	776
746	2281	772
747	2283	769
748	2285	765
749	2287	762
750	2290	759
751	2294	756
752	2296	753
753	2297	749
754	2299	746
755	2301	742
756	2303	739
757	2305	736
758	2309	733
759	2311	730
760	2313	726
761	2316	723
762	2318	720
763	2320	716
764	2323	713
765	2325	710
766	2327	707
767	2329	703
768	2331	700
769	2334	697
770	2338	694
771	2340	691
772	2342	687
773	2345	684
774	2347	681
775	2349	678
776	2352	675
777	2354	671
778	2356	668
779	2358	665
780	2361	662
781	2363	658
782	2365	655
783	2368	652
784	2372	649
785	2374	646
786	2377	643
787	2379	640
788	2381	636
789	2384	633
790	2387	630
791	2389	627
792	2391	624
793	2393	621
794	2395	617
795	2399	614
796	2402	611
797	2404	608
798	2406	605
799	2409	602
800	2414	599
801	2417	596
802	2419	593
803	2421	590
804	2422	586
805	2424	583
806	2428	580
807	2430	577
808	2432	574
809	2435	571
810	2437	568
811	2439	564
812	2442	561
813	2445	558
814	2447	555
815	2450	552
816	2452	549
817	2454	546
818	2458	543
819	2460	540
820	2463	537
821	2465	533
822	2467	530
823	2469	527
824	2472	524
825	2474	521
826	2476	518
827	2478	514
828	2481	511
829	2483	508
830	2486	505
831	2488	502
832	2490	499
833	2492	496
834	2495	493
835	2497	489
836	2499	486
837	2501	483
838	2504	480
839	2506	477
840	2508	474
841	2510	471
842	2512	467
843	2514	464
844	2516	461
845	2519	458
846	2521	455
847	2524	452
848	2526	449
849	2528	446
850	2532	443
851	2534	440
852	2536	437
853	2538	434
854	2540	430
855	2542	427
856	2545	424
857	2547	421
858	2549	418
859	2552	415
860	2554	412
861	2556	409
862	2558	406
863	2561	403
864	2563	400
865	2566	397
866	2567	393
867	2570	390
868	2572	387
869	2574	384
870	2576	381
871	2578	378
872	2580	375
873	2582	372
874	2584	369
875	2586	366
876	2589	363
877	2591	360
878	2593	356
879	2595	353
880	2597	350
881	2599	347
882	2601	344
883	2603	341
884	2606	338
885	2608	335
886	2610	332
887	2612	329
888	2614	326
889	2616	323
890	2619	320
891	2621	317
892	2623	314
893	2626	311
894	2628	308
895	2630	305
896	2633	302
897	2636	299
898	2638	296
899	2641	293
900	2643	290
901	2645	287
902	2648	284
903	2650	281
904	2652	278
905	2654	275
906	2656	272
907	2659	269
908	2661	266
909	2664	263
910	2666	260
911	2668	257
912	2670	254
913	2672	251
914	2674	248
915	2676	245
916	2679	242
917	2681	239
918	2683	236
919	2685	233
920	2687	230
921	2689	227
922	2692	224
923	2694	221
924	2696	218
925	2698	215
926	2700	212
927	2703	209
928	2705	206
929	2708	203
930	2710	200
931	2712	197
932	2714	194
933	2717	191
934	2719	189
935	2722	186
936	2724	183
937	2726	180
938	2728	177
939	2730	174
940	2732	171
941	2735	168
942	2738	165
943	2740	162
944	2742	159
945	2744	156
946	2746	153
947	2748	150
948	2750	147
949	2752	144
950	2755	141
951	2757	139
952	2759	136
953	2762	133
954	2764	130
955	2767	127
956	2769	124
957	2771	121
958	2772	118
959	2774	115
960	2776	112
961	2778	109
962	2779	106
963	2782	103
964	2784	100
965	2786	98
966	2787	95
967	2789	92
968	2792	89
969	2794	86
970	2798	83
971	2800	80
972	2802	77
973	2804	74
974	2807	71
975	2809	69
976	2813	66
977	2815	63
978	2816	60
979	2819	57
980	2821	54
981	2823	51
982	2826	48
983	2828	45
984	2830	43
985	2833	40
986	2835	37
987	2837	34
988	2839	31
989	2842	28
990	2845	25
991	2847	22
992	2849	20
993	2851	17
994	2853	14
995	2857	11
996	2859	8
997	2861	5
998	2863	2
999	2865	0
